pod_running,cpu_pressure,memory_working_set,restart_count,oom_events,cpu_usage,io_pressure,pod_failed,failure
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0,8261632,0,0,0.010041,0.00004,0,0
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0,8261632,0,0,0.010041,0.00004,0,0
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0,8261632,0,0,0.010041,0.00004,0,0
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0,8261632,0,0,0.010041,0.00004,0,0
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0,8261632,0,0,0.010041,0.00004,0,0
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0,8261632,0,0,0.010041,0.00004,0,0
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0,8261632,0,0,0.010041,0.00004,0,0
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0,8261632,0,0,0.010041,0.00004,0,0
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0,8261632,0,0,0.010041,0.00004,0,0
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0,8261632,0,0,0.010041,0.00004,0,0
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0,8261632,0,0,0.010041,0.00004,0,0
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0,8261632,0,0,0.010041,0.00004,0,0
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0.0000139,8286208,0,0,0.010041,0.00004,0,1
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0.0000146,8286208,0,0,0.010041,0.00004,0,1
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0.0000146,8286208,0,0,0.010041,0.00004,0,1
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0.0000141,8286208,0,0,0.010041,0.00004,0,1
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0.0000138,8286208,0,0,0.010041,0.00004,0,1
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0.0000146,8286208,0,0,0.010041,0.00004,0,1
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0.000014,8286208,0,0,0.010041,0.00004,0,1
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0.0000138,8286208,0,0,0.010041,0.00004,0,1
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0.0000142,8286208,0,0,0.010041,0.00004,0,1
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0.0000149,8286208,0,0,0.010041,0.00004,0,1
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0.000014,8286208,0,0,0.010041,0.00004,0,1
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0.000014,8286208,0,0,0.010041,0.00004,0,1
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0.000014,8286208,0,0,0.010041,0.00004,0,1
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0.0000145,8286208,0,0,0.010041,0.00004,0,1
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
test-app-7bf746d479-9rfjz,0,8187904,0,0,0.001249,0.000018,0,0
test-app-7bf746d479-f89kb,0.0000137,8286208,0,0,0.010041,0.00004,0,1
test-app-7bf746d479-qpdwg,0,8208384,2,0,0.170127,0.000134,0,0
